Player,Team,Role,Captain,ViceCaptain,Matched_Player,API_Name,Suggested_Match,Match_Type,Matches,Runs,Wickets,Catches,Stumpings,RunOuts,Batting_Points,Bowling_Points,Fielding_Points,Base_Points,Multiplier,Points,snapshot_time
luke wood,f9,NAN,False,False,luke wood,Luke Wood,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-23T10:44:04.245161+00:00
nathan sowter,f9,NAN,False,False,nathan sowter,Nathan Sowter,,exact/alias,1,0,0,2,0,0,0,0,16,20,1,20,2026-07-23T10:44:04.245161+00:00
jofra archer,cc,NAN,False,False,jofra archer,Jofra Archer,,exact/alias,1,4,0,0,0,0,4,0,0,8,1,8,2026-07-23T10:44:04.245161+00:00
lockie fergunson,sd,NAN,False,False,lockie ferguson,Lockie Ferguson,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-23T10:44:04.245161+00:00
adam milne,f9,NAN,False,False,,,david miller,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
marco jasen,sd,NAN,False,False,marco jansen,Marco Jansen,,exact/alias,1,0,2,0,0,1,0,53,6,63,1,63,2026-07-23T10:44:04.245161+00:00
adam zampa,cc,NAN,False,False,,,abrar ahmed,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tymal mills,cc,NAN,False,False,,,david miller,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
adil rashid,sd,NAN,False,False,adil rashid,Adil Rashid,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-23T10:44:04.245161+00:00
usman tariq,lg,NAN,False,False,,,asa tribe,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
nathan ellis,f9,NAN,False,False,nathan ellis,Nathan Ellis,,exact/alias,1,0,1,0,0,0,-2,33,0,35,1,35,2026-07-23T10:44:04.245161+00:00
phil salt,lg,NAN,False,False,phil salt,Phil Salt,,exact/alias,1,0,0,0,0,1,0,0,6,10,1,10,2026-07-23T10:44:04.245161+00:00
finn allen,sd,NAN,False,False,,,david miller,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tom banton,lg,NAN,False,False,,,tom alsop,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
lhuan dra p,lg,NAN,False,False,,,nathan ellis,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
ryan rickelton,ssw,NAN,False,False,ryan rickelton,Ryan Rickelton,,exact/alias,1,25,0,0,0,0,32,0,0,36,1,36,2026-07-23T10:44:04.245161+00:00
jonny bairstow,f9,NAN,False,False,,,jason roy,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
jordan cox,cc,NAN,False,False,jordan cox,Jordan Cox,,exact/alias,1,6,0,0,0,0,6,0,0,10,1,10,2026-07-23T10:44:04.245161+00:00
james rew,f9,NAN,False,False,,,james vince,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tom kohler,cc,NAN,False,False,,,nikhil chaudhary,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tom abell,sd,NAN,False,False,,,tom alsop,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
josh fillpi,lg,NAN,False,False,,,philip salt,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
david miller,ssw,NAN,False,False,david miller,David Miller,,exact/alias,1,44,0,1,0,0,54,0,8,66,1,66,2026-07-23T10:44:04.245161+00:00
jason roy,ssw,NAN,False,False,jason roy,Jason Roy,,exact/alias,1,0,0,1,0,0,-2,0,8,10,1,10,2026-07-23T10:44:04.245161+00:00
will smeed,ssw,NAN,False,False,,,will jacks,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
joe clarke,sd,NAN,False,False,,,joe root,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tristan stubbs,cc,NAN,False,False,tristan stubbs,Tristan Stubbs,,exact/alias,1,4,0,0,0,0,4,0,0,8,1,8,2026-07-23T10:44:04.245161+00:00
laurie evans,sd,NAN,False,False,,,marco jansen,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
dan lawrence,sd,NAN,False,False,dan lawrence,Dan Lawrence,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-23T10:44:04.245161+00:00
david willey,lg,NAN,False,False,david miller,David Miller,,fuzzy_margin:83.33333333333334,1,44,0,1,0,0,54,0,8,66,1,66,2026-07-23T10:44:04.245161+00:00
nikhil chaudhary,ssw,NAN,False,False,nikhil chaudhary,Nikhil Chaudhary,,exact/alias,1,19,2,0,0,0,22,61,0,87,1,87,2026-07-23T10:44:04.245161+00:00
rachin ravindra,cc,NAN,False,False,rachin ravindra,Rachin Ravindra,,exact/alias,1,24,0,1,0,1,26,0,14,44,1,44,2026-07-23T10:44:04.245161+00:00
mitchell marsh,lg,NAN,False,False,mitchell marsh,Mitchell Marsh,,exact/alias,1,41,0,1,0,0,55,0,8,67,1,67,2026-07-23T10:44:04.245161+00:00
mitchell owen,ssw,NAN,False,False,,,mitchell marsh,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
craig overton,cc,NAN,False,False,,,chris jordan,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
chris woakes,f9,NAN,False,False,chris woakes,Chris Woakes,,exact/alias,1,0,1,0,0,1,0,25,6,35,1,35,2026-07-23T10:44:04.245161+00:00
tom curran,cc,NAN,False,False,tom curran,Tom Curran,,exact/alias,1,0,1,0,0,0,0,25,0,29,1,29,2026-07-23T10:44:04.245161+00:00
liam dawson,lg,NAN,False,False,,,tom alsop,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
mitchell santner,cc,NAN,False,False,,,mitchell marsh,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
chris wood,lg,NAN,False,False,,,chris woakes,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
gus atkinson,f9,NAN,False,False,,,marco jansen,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
mustafizur rahman,ssw,NAN,False,False,,,sam curran,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
chris jordan,ssw,NAN,False,False,chris jordan,Chris Jordan,,exact/alias,1,1,0,1,0,0,1,0,8,13,1,13,2026-07-23T10:44:04.245161+00:00
saqib mahmood,lg,NAN,False,False,,,abrar ahmed,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
reece topley,lg,NAN,False,False,,,trent boult,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
bradley currie,lg,NAN,False,False,,,brydon carse,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
trent boult,sd,NAN,False,False,trent boult,Trent Boult,,exact/alias,1,0,1,0,0,1,0,33,6,43,1,43,2026-07-23T10:44:04.245161+00:00
matthew potts,f9,NAN,False,False,matthew potts,Matthew Potts,,exact/alias,1,9,0,0,0,0,10,0,0,14,1,14,2026-07-23T10:44:04.245161+00:00
matt henry,cc,NAN,False,False,,,matthew short,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
